seed,dataset,algorithm,fold
44,kr-vs-kp,CBM,8
42,segment,CBM,7
44,kr-vs-kp,CBM,5
42,segment,CBM,5
44,segment,CBM_KE,5
43,kr-vs-kp,CBM,1
42,segment,CBM,3
42,segment,CBM,4
44,segment,CBM_KE,3
44,segment,CBM_KE,8
42,segment,CBM,9
44,segment,CBM_KE,2
44,kr-vs-kp,CBM,2
44,segment,CBM_KE,7
44,segment,CBM_KE,1
44,kr-vs-kp,CBM,9
42,kr-vs-kp,CBM_KE,6
44,segment,CBM_KE,4
42,kr-vs-kp,CBM_KE,5
43,segment,CBM_KE,2
44,segment,CBM,9
42,mfeat-factors,CBM,1
44,segment,CBM,7
42,kr-vs-kp,CBM_KE,9
42,mfeat-factors,CBM,5
43,segment,CBM_KE,3
43,kr-vs-kp,CBM,9
44,mfeat-factors,CBM_KE,4
44,segment,CBM_KE,9
42,mfeat-factors,CBM,6
42,mfeat-factors,CBM,4
43,segment,CBM_KE,7
42,kr-vs-kp,CBM_KE,0
44,segment,CBM,6
43,segment,CBM_KE,0
44,segment,CBM_KE,0
42,mfeat-factors,CBM,7
44,segment,CBM,3
42,kr-vs-kp,CBM_KE,1
42,kr-vs-kp,CBM_KE,2
43,kr-vs-kp,CBM,8
42,kr-vs-kp,CBM_KE,7
42,mfeat-factors,CBM,0
43,segment,CBM_KE,6
44,mfeat-factors,CBM_KE,1
44,mfeat-factors,CBM_KE,7
43,segment,CBM_KE,5
43,segment,CBM_KE,4
44,mfeat-factors,CBM_KE,6
43,mfeat-factors,CBM_KE,9
44,mfeat-factors,CBM_KE,2
44,segment,CBM,5
43,mfeat-factors,CBM_KE,2
42,mfeat-factors,CBM,3
42,mfeat-factors,CBM,8
43,segment,CBM_KE,9
44,mfeat-factors,CBM,5
42,segment,CBM_KE,5
44,segment,CBM,1
43,mfeat-factors,CBM,8
44,mfeat-factors,CBM,3
44,segment,CBM,2
43,mfeat-factors,CBM_KE,7
42,segment,CBM_KE,1
43,mfeat-factors,CBM_KE,8
43,mfeat-factors,CBM_KE,3
43,mfeat-factors,CBM_KE,6
44,mfeat-factors,CBM,2
44,segment,CBM,0
42,segment,CBM_KE,3
44,mfeat-factors,CBM_KE,0
43,segment,CBM,6
42,segment,CBM_KE,7
42,car,CBM_KE,7
44,mfeat-factors,CBM,0
43,mfeat-factors,CBM,1
42,segment,CBM_KE,9
43,mfeat-factors,CBM,2
43,mfeat-factors,CBM,5
44,mfeat-factors,CBM_KE,5
44,mfeat-factors,CBM,7
42,car,CBM_KE,3
43,mfeat-factors,CBM,3
43,segment,CBM,3
43,car,CBM,0
42,mfeat-factors,CBM_KE,4
44,car,CBM,4
44,car,CBM,1
44,car,CBM,7
43,segment,CBM,8
43,mfeat-factors,CBM_KE,1
42,segment,CBM_KE,8
43,car,CBM,6
43,car,CBM,5
43,segment,CBM,1
44,mfeat-factors,CBM,9
43,segment,CBM,9
43,mfeat-factors,CBM,9
44,car,CBM,6
43,car,CBM,7
43,segment,CBM,5
44,mfeat-factors,CBM,6
44,car,CBM,2
44,car,CBM,5
42,segment,CBM_KE,6
43,car,CBM,8
43,car,CBM_KE,4
43,segment,CBM,4
44,car,CBM,8
43,car,CBM,1
43,car,CBM_KE,6
44,car,CBM,3
44,car,CBM,0
43,car,CBM_KE,9
43,car,CBM_KE,8
44,car,CBM_KE,8
43,car,CBM_KE,3
44,mfeat-factors,CBM,8
43,car,CBM,4
43,car,CBM_KE,2
44,car,CBM,9
44,mfeat-factors,CBM_KE,3
43,car,CBM_KE,1
43,car,CBM_KE,7
43,car,CBM_KE,5
42,mfeat-factors,CBM_KE,5
42,mfeat-factors,CBM_KE,7
42,mfeat-factors,CBM_KE,3
43,car,CBM,2
42,mfeat-factors,CBM_KE,1
44,car,CBM_KE,6
42,car,CBM,0
42,car,CBM,6
42,car,CBM,5
42,car,CBM,4
42,car,CBM,8
42,car,CBM,7
42,car,CBM,2
42,car,CBM,9
42,mfeat-factors,CBM_KE,8
42,mfeat-factors,CBM_KE,9
42,car,CBM,3
42,car,CBM,1
42,vehicle,CBM_KE,6
43,credit-g,CBM_KE,8
42,vehicle,CBM_KE,5
42,vehicle,CBM_KE,3
42,vehicle,CBM_KE,9
42,vehicle,CBM_KE,4
43,tic-tac-toe,CBM_KE,5
43,tic-tac-toe,CBM_KE,1
42,tic-tac-toe,CBM,3
42,tic-tac-toe,CBM,0
44,tic-tac-toe,CBM_KE,0
42,credit-g,CBM,3
42,vehicle,CBM_KE,8
44,tic-tac-toe,CBM_KE,2
42,tic-tac-toe,CBM,5
44,credit-g,CBM_KE,6
42,credit-g,CBM,7
42,tic-tac-toe,CBM,9
42,vehicle,CBM_KE,0
43,tic-tac-toe,CBM_KE,6
43,tic-tac-toe,CBM_KE,8
43,tic-tac-toe,CBM_KE,3
43,tic-tac-toe,CBM_KE,7
42,tic-tac-toe,CBM,6
44,credit-g,CBM_KE,4
43,tic-tac-toe,CBM_KE,9
42,tic-tac-toe,CBM,7
43,tic-tac-toe,CBM_KE,4
44,credit-g,CBM_KE,7
43,vehicle,CBM_KE,1
44,credit-g,CBM_KE,9
42,vehicle,CBM_KE,1
44,credit-g,CBM_KE,0
42,tic-tac-toe,CBM,2
44,tic-tac-toe,CBM_KE,4
42,credit-g,CBM,4
44,credit-g,CBM_KE,5
42,tic-tac-toe,CBM,4
43,credit-g,CBM_KE,9
43,credit-g,CBM,6
44,credit-g,CBM,5
44,tic-tac-toe,CBM_KE,7
43,credit-g,CBM_KE,1
43,vehicle,CBM_KE,3
42,credit-g,CBM,2
42,credit-g,CBM,8
43,credit-g,CBM_KE,5
42,credit-g,CBM,6
43,vehicle,CBM_KE,8
44,tic-tac-toe,CBM_KE,9
44,vehicle,CBM,7
44,tic-tac-toe,CBM_KE,8
43,credit-g,CBM_KE,3
44,vehicle,CBM,2
44,vehicle,CBM_KE,7
44,tic-tac-toe,CBM_KE,5
43,credit-g,CBM,8
44,tic-tac-toe,CBM_KE,3
43,vehicle,CBM,1
44,tic-tac-toe,CBM,2
42,diabetes,CBM,5
44,credit-g,CBM,4
43,vehicle,CBM_KE,4
43,vehicle,CBM,8
42,credit-g,CBM,5
44,vehicle,CBM,3
44,tic-tac-toe,CBM,3
43,tic-tac-toe,CBM_KE,0
44,vehicle,CBM,5
44,tic-tac-toe,CBM,9
44,tic-tac-toe,CBM_KE,1
44,tic-tac-toe,CBM,8
42,diabetes,CBM,9
43,credit-g,CBM_KE,7
44,blood,CBM_KE,5
43,vehicle,CBM_KE,7
42,credit-g,CBM_KE,6
43,vehicle,CBM_KE,6
44,diabetes,CBM_KE,4
43,vehicle,CBM_KE,5
44,credit-g,CBM,2
43,credit-g,CBM,4
44,diabetes,CBM_KE,0
44,vehicle,CBM,9
44,tic-tac-toe,CBM,1
44,vehicle,CBM_KE,1
44,blood,CBM_KE,7
42,diabetes,CBM,8
43,vehicle,CBM_KE,0
44,vehicle,CBM_KE,8
44,tic-tac-toe,CBM,7
44,credit-g,CBM_KE,8
42,diabetes,CBM,7
42,credit-g,CBM,0
44,blood,CBM_KE,9
42,credit-g,CBM_KE,3
42,diabetes,CBM,2
44,tic-tac-toe,CBM,4
42,diabetes,CBM,6
43,vehicle,CBM,7
44,tic-tac-toe,CBM,6
44,vehicle,CBM,4
43,vehicle,CBM,6
42,credit-g,CBM_KE,1
44,tic-tac-toe,CBM,0
44,credit-g,CBM_KE,3
43,vehicle,CBM,9
43,vehicle,CBM,4
44,credit-g,CBM,8
44,vehicle,CBM_KE,5
42,vehicle,CBM,7
44,diabetes,CBM_KE,5
44,credit-g,CBM,6
43,vehicle,CBM,5
44,vehicle,CBM,0
42,diabetes,CBM,1
42,balance-scale,CBM,6
42,credit-g,CBM_KE,8
42,vehicle,CBM,2
43,vehicle,CBM,0
44,tic-tac-toe,CBM,5
43,credit-g,CBM,5
43,vehicle,CBM,2
43,credit-g,CBM,9
42,vehicle,CBM,0
44,blood,CBM_KE,6
43,credit-g,CBM,3
42,tic-tac-toe,CBM_KE,0
43,diabetes,CBM,7
43,diabetes,CBM_KE,6
44,diabetes,CBM_KE,7
44,blood,CBM_KE,1
44,blood,CBM_KE,0
44,vehicle,CBM_KE,2
44,blood,CBM_KE,3
43,diabetes,CBM,9
43,diabetes,CBM,3
43,diabetes,CBM_KE,0
42,balance-scale,CBM,8
44,diabetes,CBM_KE,9
42,vehicle,CBM,5
42,vehicle,CBM,4
44,blood,CBM_KE,2
44,credit-g,CBM,7
44,balance-scale,CBM_KE,3
44,vehicle,CBM_KE,0
44,balance-scale,CBM_KE,5
44,vehicle,CBM,1
44,diabetes,CBM_KE,3
42,tic-tac-toe,CBM_KE,5
44,diabetes,CBM_KE,2
42,vehicle,CBM,3
43,diabetes,CBM_KE,7
44,diabetes,CBM,4
43,diabetes,CBM_KE,8
44,credit-g,CBM,9
44,diabetes,CBM_KE,8
44,diabetes,CBM,0
43,diabetes,CBM_KE,1
42,tic-tac-toe,CBM_KE,1
43,tic-tac-toe,CBM,0
44,diabetes,CBM_KE,1
43,diabetes,CBM_KE,2
43,diabetes,CBM,5
44,diabetes,CBM,2
44,balance-scale,CBM_KE,8
43,balance-scale,CBM_KE,1
43,diabetes,CBM_KE,9
43,blood,CBM,1
44,diabetes,CBM,5
43,balance-scale,CBM_KE,8
43,diabetes,CBM_KE,5
44,balance-scale,CBM_KE,7
44,balance-scale,CBM_KE,0
43,tic-tac-toe,CBM,9
43,balance-scale,CBM_KE,4
44,balance-scale,CBM_KE,2
43,diabetes,CBM_KE,4
42,credit-g,CBM_KE,0
42,credit-g,CBM_KE,7
44,balance-scale,CBM_KE,4
43,blood,CBM_KE,0
43,balance-scale,CBM_KE,5
43,tic-tac-toe,CBM,4
43,blood,CBM,4
44,blood,CBM_KE,8
42,diabetes,CBM,0
43,diabetes,CBM,4
44,wdbc,CBM_KE,5
44,diabetes,CBM,1
44,wdbc,CBM_KE,1
44,balance-scale,CBM_KE,6
42,blood,CBM,9
43,balance-scale,CBM_KE,6
44,diabetes,CBM,8
43,blood,CBM_KE,1
42,tic-tac-toe,CBM_KE,3
43,blood,CBM,6
44,wdbc,CBM_KE,4
42,tic-tac-toe,CBM_KE,7
42,diabetes,CBM_KE,5
44,diabetes,CBM_KE,6
42,credit-g,CBM_KE,9
42,tic-tac-toe,CBM_KE,9
43,blood,CBM_KE,8
44,balance-scale,CBM,6
43,balance-scale,CBM_KE,7
42,blood,CBM,3
44,blood,CBM,2
42,tic-tac-toe,CBM_KE,6
43,blood,CBM_KE,2
43,diabetes,CBM,8
43,blood,CBM_KE,4
42,diabetes,CBM,4
44,blood,CBM,5
43,balance-scale,CBM_KE,9
43,diabetes,CBM,6
42,diabetes,CBM_KE,2
42,balance-scale,CBM,0
42,wdbc,CBM,5
44,wdbc,CBM_KE,9
42,tic-tac-toe,CBM_KE,8
44,diabetes,CBM,6
42,diabetes,CBM_KE,9
44,blood,CBM,1
44,balance-scale,CBM,5
43,blood,CBM,2
43,balance-scale,CBM_KE,3
43,blood,CBM_KE,3
44,wdbc,CBM_KE,6
44,blood,CBM,0
43,wdbc,CBM,4
42,diabetes,CBM_KE,6
42,tic-tac-toe,CBM_KE,4
44,blood,CBM,6
44,balance-scale,CBM,1
42,wdbc,CBM,0
44,blood,CBM,3
44,wdbc,CBM_KE,8
44,balance-scale,CBM,2
44,wdbc,CBM_KE,0
44,blood,CBM,7
43,balance-scale,CBM,9
42,blood,CBM_KE,5
44,balance-scale,CBM,0
42,wdbc,CBM,4
42,wdbc,CBM,2
42,wdbc,CBM,1
43,blood,CBM,9
42,diabetes,CBM_KE,7
42,wdbc,CBM,6
42,balance-scale,CBM_KE,4
44,blood,CBM,8
42,diabetes,CBM_KE,0
42,balance-scale,CBM_KE,5
42,blood,CBM_KE,2
42,blood,CBM_KE,7
43,balance-scale,CBM,6
42,balance-scale,CBM_KE,8
44,wdbc,CBM_KE,7
42,blood,CBM_KE,1
43,blood,CBM,8
42,diabetes,CBM_KE,8
42,diabetes,CBM_KE,3
42,balance-scale,CBM_KE,7
42,wdbc,CBM,3
42,diabetes,CBM_KE,4
42,balance-scale,CBM_KE,6
43,blood,CBM,0
42,wdbc,CBM,7
43,wdbc,CBM_KE,0
43,blood,CBM,5
42,balance-scale,CBM_KE,2
42,balance-scale,CBM_KE,1
43,balance-scale,CBM,2
43,wdbc,CBM_KE,4
43,wdbc,CBM_KE,2
44,wdbc,CBM,9
43,wdbc,CBM_KE,6
42,wdbc,CBM_KE,5
43,wdbc,CBM,2
43,wdbc,CBM_KE,7
43,wdbc,CBM_KE,5
43,balance-scale,CBM,3
44,wdbc,CBM,3
