seed,dataset,algorithm,fold
42,credit-g,CatBoost_T,8
42,credit-g,CatBoost_T,1
42,credit-g,CatBoost_T,0
42,credit-g,CatBoost_T,7
42,credit-g,CatBoost_T,6
42,credit-g,CatBoost_T,5
42,credit-g,CatBoost_T,3
42,credit-g,CatBoost_T,2
42,credit-g,CatBoost_T,4
42,credit-g,CatBoost_T,9
44,credit-g,CatBoost_T,3
44,credit-g,CatBoost_T,1
44,credit-g,CatBoost_T,4
44,credit-g,CatBoost_T,5
44,credit-g,CatBoost_T,0
44,credit-g,CatBoost_T,2
43,bank,FIGS_T,9
44,bank,FIGS_T,2
44,bank,FIGS_T,6
44,bank,FIGS_T,9
44,bank,FIGS_T,7
43,bank,FIGS_T,2
42,bank,FIGS_T,2
42,bank,FIGS_T,6
42,bank,FIGS_T,5
42,bank,FIGS_T,4
42,bank,FIGS_T,3
42,bank,FIGS_T,8
44,bank,FIGS_T,0
44,bank,FIGS_T,1
42,bank,FIGS_T,9
42,bank,FIGS_T,7
43,bank,FIGS_T,8
43,bank,FIGS_T,7
43,bank,FIGS_T,0
43,bank,FIGS_T,1
42,bank,FIGS_T,0
42,bank,FIGS_T,1
43,bank,FIGS_T,3
43,bank,FIGS_T,6
44,bank,FIGS_T,3
43,bank,FIGS_T,4
44,bank,FIGS_T,5
44,bank,FIGS_T,8
44,bank,FIGS_T,4
43,bank,FIGS_T,5
43,bank,LightGBM_T,8
42,bank,LightGBM_T,7
42,bank,LightGBM_T,6
42,bank,LightGBM_T,5
42,bank,LightGBM_T,4
44,bank,LightGBM_T,4
44,bank,LightGBM_T,7
44,bank,LightGBM_T,6
44,bank,LightGBM_T,5
44,bank,LightGBM_T,0
42,bank,LightGBM_T,9
44,bank,LightGBM_T,1
42,bank,LightGBM_T,8
42,bank,LightGBM_T,2
42,bank,LightGBM_T,1
42,bank,LightGBM_T,0
42,bank,LightGBM_T,3
43,bank,LightGBM_T,7
43,bank,LightGBM_T,0
43,bank,LightGBM_T,1
44,bank,LightGBM_T,3
43,bank,LightGBM_T,4
43,bank,LightGBM_T,2
43,bank,LightGBM_T,3
43,bank,LightGBM_T,9
44,bank,LightGBM_T,2
43,bank,LightGBM_T,5
43,bank,LightGBM_T,6
44,bank,LightGBM_T,8
44,bank,LightGBM_T,9
44,balance-scale,XGBoost_T,8
44,balance-scale,XGBoost_T,5
44,balance-scale,XGBoost_T,2
44,balance-scale,XGBoost_T,7
44,balance-scale,XGBoost_T,9
44,balance-scale,XGBoost_T,6
42,balance-scale,XGBoost_T,1
44,balance-scale,XGBoost_T,1
42,balance-scale,XGBoost_T,2
42,balance-scale,XGBoost_T,0
44,balance-scale,XGBoost_T,0
44,balance-scale,XGBoost_T,4
44,balance-scale,XGBoost_T,3
43,balance-scale,XGBoost_T,0
43,balance-scale,XGBoost_T,2
43,balance-scale,XGBoost_T,4
43,balance-scale,XGBoost_T,9
43,balance-scale,XGBoost_T,6
43,balance-scale,XGBoost_T,8
43,balance-scale,XGBoost_T,1
43,balance-scale,XGBoost_T,5
43,balance-scale,XGBoost_T,7
43,balance-scale,XGBoost_T,3
42,balance-scale,XGBoost_T,8
42,balance-scale,XGBoost_T,9
42,balance-scale,XGBoost_T,7
42,balance-scale,XGBoost_T,5
42,balance-scale,XGBoost_T,6
42,balance-scale,XGBoost_T,3
42,balance-scale,XGBoost_T,4
42,magic,FIGS_T,3
42,magic,FIGS_T,2
42,magic,FIGS_T,1
42,magic,FIGS_T,0
42,magic,FIGS_T,9
42,magic,FIGS_T,8
42,magic,FIGS_T,7
42,magic,FIGS_T,5
43,magic,FIGS_T,7
43,magic,FIGS_T,3
43,magic,FIGS_T,5
43,magic,FIGS_T,6
42,magic,FIGS_T,6
43,magic,FIGS_T,4
43,magic,FIGS_T,8
43,magic,FIGS_T,9
42,magic,FIGS_T,4
44,magic,FIGS_T,9
44,magic,FIGS_T,3
44,magic,FIGS_T,6
44,magic,FIGS_T,0
44,magic,FIGS_T,7
44,magic,FIGS_T,2
44,magic,FIGS_T,1
44,magic,FIGS_T,8
43,magic,FIGS_T,1
43,magic,FIGS_T,0
44,magic,FIGS_T,4
44,magic,FIGS_T,5
43,magic,FIGS_T,2
42,car,LightGBM_T,4
42,car,LightGBM_T,6
42,car,LightGBM_T,0
42,car,LightGBM_T,1
42,car,LightGBM_T,2
42,car,LightGBM_T,7
44,car,LightGBM_T,5
44,car,LightGBM_T,4
44,car,LightGBM_T,3
42,car,LightGBM_T,8
42,car,LightGBM_T,9
44,car,LightGBM_T,2
44,car,LightGBM_T,8
44,car,LightGBM_T,9
44,car,LightGBM_T,1
44,car,LightGBM_T,0
44,car,LightGBM_T,7
44,car,LightGBM_T,6
43,car,LightGBM_T,7
43,car,LightGBM_T,5
43,car,LightGBM_T,4
42,car,LightGBM_T,3
42,car,LightGBM_T,5
43,car,LightGBM_T,3
43,car,LightGBM_T,0
43,car,LightGBM_T,9
43,car,LightGBM_T,6
43,car,LightGBM_T,8
43,car,LightGBM_T,2
43,car,LightGBM_T,1
44,diabetes,CatBoost_T,0
43,diabetes,CatBoost_T,6
43,diabetes,CatBoost_T,0
44,diabetes,CatBoost_T,5
44,diabetes,CatBoost_T,4
44,diabetes,CatBoost_T,2
44,diabetes,CatBoost_T,3
44,diabetes,CatBoost_T,1
43,diabetes,CatBoost_T,5
43,diabetes,CatBoost_T,9
43,diabetes,CatBoost_T,3
43,diabetes,CatBoost_T,4
43,diabetes,CatBoost_T,1
43,diabetes,CatBoost_T,7
44,diabetes,CatBoost_T,8
44,diabetes,CatBoost_T,7
44,diabetes,CatBoost_T,6
44,diabetes,CatBoost_T,9
43,diabetes,CatBoost_T,2
43,diabetes,CatBoost_T,8
42,diabetes,CatBoost_T,8
42,diabetes,CatBoost_T,9
42,diabetes,CatBoost_T,0
42,diabetes,CatBoost_T,4
42,diabetes,CatBoost_T,6
42,diabetes,CatBoost_T,2
42,diabetes,CatBoost_T,1
42,diabetes,CatBoost_T,3
42,diabetes,CatBoost_T,5
42,diabetes,CatBoost_T,7
42,blood,EBM_T,7
44,blood,EBM_T,3
44,blood,EBM_T,2
44,blood,EBM_T,8
42,blood,EBM_T,6
43,blood,EBM_T,4
44,blood,EBM_T,6
44,blood,EBM_T,4
43,blood,EBM_T,3
43,blood,EBM_T,1
44,blood,EBM_T,5
42,blood,EBM_T,5
42,blood,EBM_T,3
44,blood,EBM_T,7
44,blood,EBM_T,9
42,blood,EBM_T,9
42,blood,EBM_T,8
42,blood,EBM_T,4
43,blood,EBM_T,5
43,blood,EBM_T,0
43,blood,EBM_T,2
42,blood,EBM_T,2
44,blood,EBM_T,1
44,blood,EBM_T,0
42,blood,EBM_T,1
42,blood,EBM_T,0
43,blood,EBM_T,9
43,blood,EBM_T,6
43,blood,EBM_T,7
43,blood,EBM_T,8
43,vehicle,XGBoost_T,5
43,vehicle,XGBoost_T,9
43,vehicle,XGBoost_T,6
43,vehicle,XGBoost_T,7
44,vehicle,XGBoost_T,7
44,vehicle,XGBoost_T,6
44,vehicle,XGBoost_T,9
44,vehicle,XGBoost_T,4
43,vehicle,XGBoost_T,4
43,vehicle,XGBoost_T,0
43,vehicle,XGBoost_T,1
43,vehicle,XGBoost_T,3
43,vehicle,XGBoost_T,8
42,vehicle,XGBoost_T,9
42,vehicle,XGBoost_T,5
42,vehicle,XGBoost_T,0
42,vehicle,XGBoost_T,4
42,vehicle,XGBoost_T,6
42,vehicle,XGBoost_T,3
44,vehicle,XGBoost_T,5
42,vehicle,XGBoost_T,8
42,vehicle,XGBoost_T,7
42,vehicle,XGBoost_T,2
42,vehicle,XGBoost_T,1
44,vehicle,XGBoost_T,2
44,vehicle,XGBoost_T,1
44,vehicle,XGBoost_T,0
44,vehicle,XGBoost_T,8
43,vehicle,XGBoost_T,2
44,vehicle,XGBoost_T,3
43,phoneme,LightGBM_T,7
43,phoneme,LightGBM_T,9
43,phoneme,LightGBM_T,8
43,phoneme,LightGBM_T,3
43,phoneme,LightGBM_T,2
44,phoneme,LightGBM_T,6
44,phoneme,LightGBM_T,9
44,phoneme,LightGBM_T,8
42,phoneme,LightGBM_T,7
42,phoneme,LightGBM_T,1
44,phoneme,LightGBM_T,5
42,phoneme,LightGBM_T,5
44,phoneme,LightGBM_T,7
42,phoneme,LightGBM_T,6
42,phoneme,LightGBM_T,4
42,phoneme,LightGBM_T,8
44,phoneme,LightGBM_T,3
42,phoneme,LightGBM_T,2
43,phoneme,LightGBM_T,4
43,phoneme,LightGBM_T,1
43,phoneme,LightGBM_T,0
42,phoneme,LightGBM_T,0
