seed,dataset,algorithm,fold
42,diabetes,CBM_KE,6
42,tic-tac-toe,CBM_KE,4
44,wdbc,CBM_KE,8
42,blood,CBM_KE,0
44,wdbc,CBM_KE,0
42,blood,CBM_KE,9
42,blood,CBM_KE,5
44,wdbc,CBM_KE,3
42,diabetes,CBM_KE,7
42,blood,CBM_KE,3
42,balance-scale,CBM_KE,4
42,diabetes,CBM_KE,0
42,balance-scale,CBM_KE,5
42,blood,CBM_KE,2
42,blood,CBM_KE,7
42,balance-scale,CBM_KE,8
44,wdbc,CBM_KE,7
42,blood,CBM_KE,1
42,diabetes,CBM_KE,8
42,diabetes,CBM_KE,3
42,blood,CBM_KE,6
42,balance-scale,CBM_KE,7
42,diabetes,CBM_KE,4
42,balance-scale,CBM_KE,6
43,wdbc,CBM_KE,0
42,balance-scale,CBM_KE,2
42,balance-scale,CBM_KE,1
43,wdbc,CBM_KE,4
43,wdbc,CBM_KE,2
43,wdbc,CBM_KE,6
42,wdbc,CBM_KE,5
43,wdbc,CBM_KE,7
43,wdbc,CBM_KE,5
42,blood,CBM_KE,4
42,diabetes,CBM_KE,1
42,balance-scale,CBM_KE,9
43,wdbc,CBM_KE,1
42,balance-scale,CBM_KE,3
44,wdbc,CBM_KE,2
43,wdbc,CBM_KE,3
42,balance-scale,CBM_KE,0
42,wdbc,CBM_KE,3
43,wdbc,CBM_KE,8
42,blood,CBM_KE,8
42,wdbc,CBM_KE,9
43,wdbc,CBM_KE,9
42,wdbc,CBM_KE,6
42,wdbc,CBM_KE,2
42,wdbc,CBM_KE,0
42,wdbc,CBM_KE,8
42,wdbc,CBM_KE,4
42,wdbc,CBM_KE,1
42,wdbc,CBM_KE,7
