Dataset,Algorithm,AUC_ROC_mean,AUC_ROC_std,AUC_ROC_count,Accuracy_mean,Accuracy_std,Accuracy_count,Precision_mean,Precision_std,Precision_count,Recall_mean,Recall_std,Recall_count,F1_macro_mean,F1_macro_std,F1_macro_count,MCC_mean,MCC_std,MCC_count
diabetes,SVM_RBF,0.8331980056980056,0.0336333287683619,30,0.7456254272043746,0.03115490708853573,30,0.7300820911294869,0.02968048002992736,30,0.7436856600189934,0.030967880976938745,30,0.7306493650239693,0.030731603321436252,30,0.4735017942671251,0.06004063675836173,30
diabetes,TabPFN,0.846329534662868,0.03222145572400607,30,0.7613123718386877,0.03818792569742746,30,0.7468736905825902,0.05104479877563943,30,0.7184387464387464,0.040638756192642796,30,0.7249293651210102,0.041427892182131894,30,0.4635520903030634,0.08583052502233911,30
diabetes,XGBoost,0.7766780626780626,0.03672265293935014,30,0.7179254955570745,0.03969206209078753,30,0.6913290712723761,0.04456632965238011,30,0.6841111111111111,0.043118881479219294,30,0.6849026097547636,0.04373222999078879,30,0.3750469365147803,0.08621001274935691,30
kr-vs-kp,CBM,0.9987662390683175,0.0018717356992666082,30,0.9944716562173459,0.004767449782379195,30,0.9945404880980006,0.004727889516292563,30,0.9944191158757001,0.004800732327417515,30,0.9944599583361714,0.00477735007610954,30,0.9889595217528344,0.009520998675291872,30
kr-vs-kp,CBM_KE,0.9989499968568464,0.001640351079627151,30,0.994262343260188,0.004117451235757707,30,0.9943222463774681,0.0040742038562068044,30,0.9942196305310061,0.004150405132106911,30,0.9942504449929092,0.0041260463644822365,30,0.9885417981316768,0.008215952951675543,30
kr-vs-kp,CatBoost,0.9996298026705943,0.0005143154572693808,30,0.9947848092998955,0.004055559800344577,30,0.9948123196759338,0.0040310233438768306,30,0.9947755748858466,0.004071347372984149,30,0.994774426258926,0.004064096492447734,30,0.9895878190513238,0.008093155526673232,30
kr-vs-kp,DT_depth3,0.9390431973987875,0.0095160696102077,30,0.9042584247648903,0.014329523814793193,30,0.913819459263318,0.012883917733399183,30,0.9010885484471808,0.014772477109852744,30,0.9030019908687288,0.014691420238816486,30,0.8147960665367596,0.02739864256913029,30
kr-vs-kp,DT_depth5,0.9821367811725904,0.0034198925780342436,30,0.940864354754441,0.01150181048962589,30,0.9434339235591856,0.011046981292738999,30,0.939482228095233,0.011723444926459851,30,0.9405314877118713,0.011606622780817399,30,0.8829043477390589,0.022669940690401368,30
kr-vs-kp,EBM,0.9994444201024801,0.000668436443215978,30,0.9915527037617554,0.005266649719563912,30,0.9916382289407224,0.005274286095715422,30,0.9914841404533078,0.005280486046340092,30,0.9915348022341671,0.005277294205050464,30,0.9831222477102416,0.010544268418248983,30
kr-vs-kp,FIGS,0.9842073030736533,0.005678575131716029,30,0.9747635841170325,0.007379933981170569,30,0.9746752838862727,0.007403585182886841,30,0.975077209887816,0.007165839188857452,30,0.9747309802788464,0.007379259551802941,30,0.949752258403699,0.014561339427300509,30
kr-vs-kp,KNN_k5,0.989449206059431,0.004036942277526764,30,0.9602644984326019,0.012859235450021055,30,0.9609422400014451,0.012773269586459789,30,0.9597320351153661,0.012981213543603426,30,0.9601388727007871,0.01290161443858551,30,0.9206725309112707,0.02572112690274578,30
kr-vs-kp,LightGBM,0.9996210471121368,0.0005857960902011541,30,0.994680316091954,0.004120914783622127,30,0.9947353087765622,0.0040969647000963635,30,0.9946375820066715,0.004145314452138726,30,0.9946691303595855,0.0041296844622776,30,0.989372803918137,0.008232389841878178,30
kr-vs-kp,LogReg,0.9939372612114311,0.0029207511118200017,30,0.9654845872518287,0.010829176287078465,30,0.9654702074385138,0.010885536770828224,30,0.9656666789700096,0.010670943927944437,30,0.9654322736409504,0.01083270394574633,30,0.9311365750413831,0.021544582963506302,30
kr-vs-kp,MLP,0.9995044842613628,0.00046585641577928617,30,0.9910292580982235,0.0055025440320272245,30,0.9910844146671114,0.005440212835445536,30,0.9910091822480677,0.005561663199858696,30,0.9910103959488538,0.005515907815734001,30,0.9820934055228057,0.01098549326210352,30
