Dataset,mode,sub_seed,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,wall_s
bank,strat,103,CatBoost,2,OK,0.8945,0.9157229143072858,0.7489105734036734,0.6640701377394469,0.6939454134964271,0.4041722012367768,0.7
bank,strat,103,CatBoost,3,OK,0.905,0.9286499017529595,0.7763393439319035,0.7256245704716826,0.7472732109603618,0.4993954175963665,0.7
bank,strat,103,CatBoost,4,OK,0.9065,0.9345761825943026,0.7890295869031039,0.7023768040189331,0.7349621116291397,0.4837060432302357,0.7
bank,strat,103,TabPFN,0,OK,0.913,0.9393723804822331,0.7988368711834837,0.7486908460860895,0.7704824616943143,0.5452265376385866,11.6
bank,strat,103,TabPFN,1,OK,0.918,0.9411243720416995,0.8141115964492038,0.7589366088799838,0.7827693726008599,0.5703858048529427,11.7
bank,strat,103,TabPFN,2,OK,0.905,0.930779394256178,0.7810960307971253,0.7070883061823039,0.7361111111111112,0.48254202259428314,9.7
bank,strat,103,TabPFN,3,OK,0.913,0.94036695027635,0.7929378028487405,0.7709343632333441,0.7813103281853282,0.5634426930284867,7.3
bank,strat,103,TabPFN,4,OK,0.9095,0.944313771040838,0.7904836230981833,0.7337335811288246,0.7577154575530198,0.5211363640584453,10.5
magic,nonstrat,101,CBM_KE,0,OK,0.88,0.9358145892193328,0.870547148898573,0.8620901329394062,0.8660222336103324,0.7325884694833851,2248.6
magic,nonstrat,101,CBM_KE,1,OK,0.8865,0.9138681921832741,0.8913888080324357,0.8550383588764561,0.8689996274857248,0.7455415215437656,1985.5
magic,nonstrat,101,CBM_KE,2,OK,0.886,0.9397416520832229,0.8936960429878109,0.8522741333898994,0.8676904792854357,0.7448192595860117,2301.6
magic,nonstrat,101,CBM_KE,3,OK,0.88,0.9359831008820774,0.8748343262134297,0.8561939863180782,0.8642102297223438,0.7307906208013686,2133.7
magic,nonstrat,101,CBM_KE,4,OK,0.875,0.9298127574198795,0.874149268886111,0.8452254688798148,0.8567418981813097,0.7187930349752911,2575.2
magic,nonstrat,101,CatBoost,0,OK,0.89,0.9409705316361783,0.8898930992926506,0.8639791730839933,0.8746438746438747,0.7534267525690717,0.8
magic,nonstrat,101,CatBoost,1,OK,0.8875,0.93902352795602,0.8905062627270985,0.8578445670042956,0.8706955630475504,0.7476377317873789,0.8
magic,nonstrat,101,CatBoost,2,OK,0.891,0.9372215887999151,0.8929138224440238,0.8632426508281628,0.8751809303944741,0.7555741086394989,0.8
magic,nonstrat,101,CatBoost,3,OK,0.8795,0.9353345795548957,0.8775822743564679,0.8520686394088843,0.8625131960233796,0.7292047108942558,0.8
magic,nonstrat,101,CatBoost,4,OK,0.8725,0.9293133849498859,0.8683300753288345,0.8453558360290608,0.8548741374615096,0.7133160340265361,0.8
magic,nonstrat,101,TabPFN,0,OK,0.912,0.9535048815844531,0.9113712161641232,0.89233575232045,0.9006498403623571,0.8034815133572888,6.7
magic,nonstrat,101,TabPFN,1,OK,0.899,0.9508725760548691,0.9004952862574636,0.8737825034028035,0.8848082627831464,0.7738168535211344,8.0
magic,nonstrat,101,TabPFN,2,OK,0.9095,0.9536721553446114,0.9115375703779326,0.886573951317813,0.8970706359868921,0.797721015635742,7.5
magic,nonstrat,101,TabPFN,3,OK,0.906,0.9552697053260505,0.9091823374257576,0.8811758674939456,0.8927058221930018,0.7898618421761201,7.7
magic,nonstrat,101,TabPFN,4,OK,0.8895,0.9465737745487972,0.8873359185572435,0.8651583850382705,0.8745216136520484,0.7521674241488476,7.1
magic,nonstrat,102,CBM_KE,0,OK,0.8875,0.9340978021978023,0.8904650360378752,0.8593956043956044,0.8716409506442341,0.7492167046247264,2170.7
magic,nonstrat,102,CBM_KE,1,OK,0.88,0.9277076923076922,0.8805864096312245,0.851978021978022,0.8633567107227405,0.7320056055897812,2164.5
magic,nonstrat,102,CBM_KE,2,OK,0.8855,0.9289725274725276,0.8841074167182359,0.8608241758241758,0.8704838671820542,0.7445676384729885,2726.5
magic,nonstrat,102,CBM_KE,3,OK,0.8895,0.9407725274725275,0.8932533867639583,0.8612637362637363,0.8738215374074894,0.7538386771736131,2209.1
