Dataset,mode,sub_seed,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,wall_s
magic,strat,102,TabPFN,2,OK,0.904,0.9532535416559277,0.9075721774435418,0.8800547493888402,0.8912841605551756,0.7871460900142214,8.0
magic,strat,102,TabPFN,3,OK,0.9005,0.9475033203881154,0.899689854095173,0.8796363421003278,0.8882157806175713,0.7790681463987735,7.3
magic,strat,102,TabPFN,4,OK,0.8975,0.9501668157267116,0.895949925768603,0.8767887205387206,0.8850161776629062,0.7725010444724416,6.9
magic,strat,103,CBM_KE,0,OK,0.884,0.9254193121011284,0.8847588119260694,0.8574684330071256,0.8684306039488966,0.7417253658461341,2355.3
magic,strat,103,CBM_KE,1,OK,0.8845,0.938070237587342,0.8881980066190592,0.855573810226247,0.8682180426614137,0.743055971877685,2153.1
magic,strat,103,CBM_KE,2,OK,0.886,0.9310576656273203,0.8878580526674369,0.8590104530533862,0.8704963398176043,0.7463111823054525,2470.8
magic,strat,103,CBM_KE,3,OK,0.883,0.9359699755755431,0.8839384022962542,0.8560459579004399,0.8671925991089418,0.739458494360121,2236.8
magic,strat,103,CBM_KE,4,OK,0.88,0.9354043911335579,0.8822823582173579,0.8512819163860831,0.8633567107227405,0.7329089422163836,2535.5
magic,strat,103,CatBoost,0,OK,0.8825,0.9388522150361213,0.8817703250506719,0.8569633830559854,0.8670904313876975,0.7383170776312059,0.8
magic,strat,103,CatBoost,1,OK,0.8835,0.9354786349064643,0.8850808364485094,0.8561057303702274,0.8676042708702973,0.7406199903191232,0.8
magic,strat,103,CatBoost,2,OK,0.892,0.9348337502782984,0.8927343020305609,0.8675453036934999,0.8778833107191315,0.7598622199074705,0.8
magic,strat,103,CatBoost,3,OK,0.8875,0.9366653103616946,0.8879876005283172,0.8621213633387477,0.8726479130813516,0.7496628545201999,0.8
magic,strat,103,CatBoost,4,OK,0.8795,0.9344749579124579,0.8803904144080097,0.8518693883277217,0.8631661035753107,0.7317041545419157,0.8
magic,strat,103,TabPFN,0,OK,0.904,0.954632147060017,0.9042460458488214,0.8829863422648392,0.8920269797584328,0.786945269951258,7.5
magic,strat,103,TabPFN,1,OK,0.8985,0.9485167105180902,0.9020719903206291,0.8732083339274022,0.8848318104751426,0.7747428415324316,6.8
magic,strat,103,TabPFN,2,OK,0.9085,0.9512333418513672,0.908581401353769,0.8887360151613692,0.8972798526218475,0.7970704004824473,7.1
magic,strat,103,TabPFN,3,OK,0.9015,0.9503888500763881,0.9036795320322781,0.8781272243310145,0.8886678257645821,0.7813890732960327,7.4
magic,strat,103,TabPFN,4,OK,0.8965,0.9547931572671156,0.8975061860738311,0.8730972923681257,0.8831952036677835,0.7702168051236659,8.1
pendigits,nonstrat,101,CBM_KE,0,OK,0.993,0.9997028437415649,0.9930676129003027,0.9929094494851792,0.9929693855674735,0.9922248080900284,2018.0
pendigits,nonstrat,101,CBM_KE,1,OK,0.9955,0.9994488401857179,0.9955955066185374,0.9954594241667888,0.9955037904175166,0.9950042884572047,2014.2
pendigits,nonstrat,101,CBM_KE,2,OK,0.9935,0.9992631167453947,0.9935563188285915,0.9935159615366802,0.9935079587760235,0.9927831333927561,2119.1
