Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,wall_s
43,kr-vs-kp,TabICLv2,1,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.8
43,kr-vs-kp,TabICLv2,2,OK,0.99375,0.9999608625885484,0.9940828402366864,0.9934640522875817,0.993734335839599,0.9875466986607835,2.0
43,kr-vs-kp,TabICLv2,3,OK,1.0,1.0,1.0,1.0,1.0,1.0,1.9
43,kr-vs-kp,TabICLv2,4,OK,1.0,1.0,1.0,1.0,1.0,1.0,2.1
43,kr-vs-kp,TabICLv2,5,OK,0.996875,0.9999608625885484,0.9970238095238095,0.9967320261437909,0.996868118424272,0.9937557928313525,2.0
43,kr-vs-kp,TabICLv2,6,OK,0.9968652037617555,0.9999606051055784,0.9967320261437909,0.9970059880239521,0.9968591542362034,0.9937379764037085,2.0
43,kr-vs-kp,TabICLv2,7,OK,0.9968652037617555,0.9997242357390482,0.9970238095238095,0.9967105263157895,0.9968572976700655,0.9937342864569987,2.0
43,kr-vs-kp,TabICLv2,8,OK,0.9968652037617555,0.9996848408446266,0.9967320261437909,0.9970059880239521,0.9968591542362034,0.9937379764037085,1.5
43,kr-vs-kp,TabICLv2,9,OK,0.9843260188087775,0.9994487754941334,0.9848323471400394,0.9839160563823923,0.9842864883503275,0.9687479701854903,2.2
43,magic,TabICLv2,0,OK,0.904,0.958665314597518,0.9015781699448029,0.8854867668426991,0.8925842877666931,0.7869004266529025,1.8
43,magic,TabICLv2,1,OK,0.896,0.9456911575555643,0.9000708178270809,0.8695121576477509,0.8816697311172198,0.7689760233120014,2.1
43,magic,TabICLv2,2,OK,0.912,0.9575481016158982,0.913474684277604,0.8916500950399255,0.9009504256880569,0.8048289244154357,1.9
43,magic,TabICLv2,3,OK,0.904,0.9534172669765889,0.9063830385117952,0.8809081690437623,0.8914518317503393,0.7868789465476087,2.1
43,magic,TabICLv2,4,OK,0.894,0.9413101023270515,0.8932851542335756,0.8712417525976848,0.8805100642089315,0.7642090549799142,2.3
