Seed,Dataset,Algorithm,CV index,Status,Accuracy,AUC_ROC,Precision,Recall,F1_macro,MCC,Train time [s],wall_s,Train size,Test size,Number of classes,n_trials,num_concepts,rule_budget,concept_dropout_p,lambda_concept,kd_alpha_hard,kd_temperature
43,tic-tac-toe,CBM_KE,7,OK,1.0,1.0,1.0,1.0,1.0,1.0,266.17982053756714,266.2,862,96,2,40,3,6,0.0,2.054697767833935,0.7902572859607933,1.306650799985789
43,tic-tac-toe,CBM_KE,8,OK,0.9789473684210527,0.9995112414467253,0.984375,0.9696969696969697,0.9764384920634921,0.9539590550898287,262.3640329837799,262.4,863,95,2,40,3,6,0.0,2.054697767833935,0.7902572859607933,1.306650799985789
43,tic-tac-toe,CBM_KE,9,OK,0.9894736842105263,0.998533724340176,0.9920634920634921,0.9848484848484849,0.9883076923076923,0.9768853332428297,260.52016854286194,260.5,863,95,2,40,8,5,0.0,0.7187132273224744,0.4865868912810847,2.455800061819402
43,tic-tac-toe,CBM,0,OK,0.9895833333333334,1.0,0.9857142857142858,0.9919354838709677,0.9886885825379993,0.9776299753299275,202.09443378448486,202.1,862,96,2,40,12,10,0.0,2.825282688746488,,
43,tic-tac-toe,CBM,4,OK,0.9791666666666666,0.9990379990379991,0.9846153846153847,0.9696969696969697,0.9765625,0.9541957401338105,190.258305311203,190.3,862,96,2,40,4,15,0.0,0.08618199393342754,,
43,tic-tac-toe,CBM,9,OK,0.9578947368421052,0.990713587487781,0.9488095238095238,0.9606549364613881,0.9541947926711668,0.9093873161062717,195.4580454826355,195.5,863,95,2,40,3,6,0.0,2.054697767833935,,
43,vehicle,CBM_KE,0,OK,0.8117647058823529,0.9463702269952271,0.8185526315789473,0.8143398268398268,0.8141356753557425,0.7508795310356227,274.8843140602112,274.9,761,85,4,40,3,8,0.0,1.6207461330379358,0.7697039904843663,2.36124624415959
43,vehicle,CBM_KE,1,OK,0.7411764705882353,0.920606077949828,0.7341257155035927,0.7456709956709957,0.7370648321867834,0.6572293686335384,309.9957480430603,310.0,761,85,4,40,6,11,0.0,0.35984881792492696,0.8252122621450926,1.561922514329519
43,vehicle,CBM_KE,3,OK,0.8470588235294118,0.9786686577311577,0.8624458874458876,0.8500541125541126,0.8456895903324475,0.8035228654717819,313.8121750354767,313.8,761,85,4,40,9,16,0.0,3.5397335505379965,0.23186646376955894,3.8324191718133704
43,vehicle,CBM_KE,4,OK,0.8941176470588236,0.9728873556998557,0.8955627705627706,0.8955627705627706,0.8953488372093024,0.8589364844903988,292.8111159801483,292.8,761,85,4,40,12,11,0.0,3.36721856527679,0.5780241249271592,3.438239485036183
43,vehicle,CBM_KE,5,OK,0.8352941176470589,0.9614560786435786,0.8351158645276292,0.8365800865800865,0.8330609131524462,0.782015251510913,281.36014103889465,281.4,761,85,4,40,12,11,0.0,3.36721856527679,0.5780241249271592,3.438239485036183
43,vehicle,CBM_KE,6,OK,0.9166666666666666,0.9784517018612999,0.9163249031670084,0.9166666666666667,0.9157047646057856,0.8893722269995791,312.78108167648315,312.8,762,84,4,40,9,7,0.0,1.4963778441662408,0.617428886123806,4.259407545002471
43,vehicle,CBM_KE,7,OK,0.8333333333333334,0.9783868418661046,0.8535980148883374,0.8331624515835042,0.8289813120556739,0.7880689165185074,294.77462935447693,294.8,762,84,4,40,6,11,0.0,0.35984881792492696,0.8252122621450926,1.561922514329519
43,vehicle,CBM_KE,8,OK,0.8452380952380952,0.9612747510212948,0.8524844720496895,0.8484848484848484,0.8502516453735967,0.7936838691722802,302.36460876464844,302.4,762,84,4,40,12,6,0.0,2.262952561312196,0.6694548391478754,3.5042853105201686
43,vehicle,CBM,0,OK,0.8352941176470589,0.9489787816350316,0.8454059829059828,0.8376082251082251,0.8375371103414151,0.7835219578542771,206.9235770702362,206.9,761,85,4,40,4,4,0.0,1.5242654347593771,,
43,vehicle,CBM,1,OK,0.7411764705882353,0.9026756576756576,0.7342986913925129,0.7451298701298701,0.7387218755908489,0.6556439211265103,211.39395403862,211.4,761,85,4,40,9,10,0.0,0.5483512526519421,,
43,vehicle,CBM,2,OK,0.8352941176470589,0.9477780899655899,0.8366919191919193,0.835443722943723,0.8342923920051579,0.781460105804682,190.80585312843323,190.8,761,85,4,40,9,10,0.0,0.5483512526519421,,
43,vehicle,CBM,4,OK,0.8352941176470589,0.9712069527694528,0.8400076277650648,0.8370670995670995,0.836543673129039,0.7817654624846249,214.3386332988739,214.4,761,85,4,40,10,19,0.0,1.0767469552720283,,
43,vehicle,CBM,5,OK,0.7647058823529411,0.9405375353812854,0.7610370950888192,0.770021645021645,0.7510364145658264,0.6976681147608016,202.40201330184937,202.4,761,85,4,40,10,19,0.0,1.0767469552720283,,
43,vehicle,CBM,6,OK,0.8333333333333334,0.960877337708055,0.8347727272727273,0.8338744588744589,0.8292260554646804,0.7812200470448527,206.92549562454224,206.9,762,84,4,40,7,7,0.0,0.8377306079422078,,
43,vehicle,CBM,7,OK,0.8095238095238095,0.9668473278951086,0.8484375,0.8098940533151059,0.8018564470177374,0.7615722361963108,207.05203127861023,207.1,762,84,4,40,12,5,0.0,1.0158311610743629,,
43,vehicle,CBM,8,OK,0.8214285714285714,0.9461318251640832,0.8286507936507936,0.8262987012987013,0.8242179215270413,0.7644961024840222,217.1864790916443,217.2,762,84,4,40,5,5,0.0,0.2785318856574255,,
43,vehicle,CBM,9,OK,0.7857142857142857,0.9336416058766289,0.7842085450781102,0.79004329004329,0.7858622879609833,0.7149891059081153,206.74667501449585,206.8,762,84,4,40,6,16,0.0,1.2548201805907633,,
43,wdbc,CBM_KE,0,OK,0.9824561403508771,0.9973544973544973,0.9864864864864865,0.9761904761904762,0.9809555629802873,0.962621902223779,158.42418456077576,158.4,512,57,2,40,11,18,0.0,4.555257725111775,0.32664021668053067,1.4160757994190516
43,wdbc,CBM_KE,2,OK,0.9298245614035088,0.9794973544973544,0.920076726342711,0.9345238095238095,0.9259740259740259,0.8544784126535336,162.2941255569458,162.3,512,57,2,40,6,3,0.0,3.385969592487728,0.31139624758778695,2.9180200857626715
43,wdbc,CBM_KE,3,OK,0.9824561403508771,1.0,0.9772727272727273,0.9861111111111112,0.981329839502129,0.9633432944855655,153.22131657600403,153.2,512,57,2,40,6,5,0.0,2.946441354621569,0.2832209133634554,2.041316260023299
43,wdbc,CBM_KE,4,OK,1.0,1.0,1.0,1.0,1.0,1.0,154.69383120536804,154.7,512,57,2,40,11,18,0.0,4.555257725111775,0.32664021668053067,1.4160757994190516
43,wdbc,CBM_KE,5,OK,0.9824561403508771,1.0,0.9864864864864865,0.9761904761904762,0.9809555629802873,0.962621902223779,151.2522430419922,151.3,512,57,2,40,3,6,0.0,2.054697767833935,0.7902572859607933,1.306650799985789
43,wdbc,CBM_KE,6,OK,0.9824561403508771,1.0,0.9772727272727273,0.9861111111111112,0.981329839502129,0.9633432944855655,162.1629297733307,162.2,512,57,2,40,12,9,0.0,3.36721856527679,0.5780241249271592,3.438239485036183
43,wdbc,CBM_KE,7,OK,0.9473684210526315,0.9753246753246754,0.9484126984126984,0.9402597402597402,0.9439895185063871,0.8886350389948482,148.3040795326233,148.3,512,57,2,40,11,18,0.0,4.555257725111775,0.32664021668053067,1.4160757994190516
43,wdbc,CBM_KE,8,OK,0.9649122807017544,0.9766233766233766,0.972972972972973,0.9545454545454546,0.9623015873015872,0.9273353546322172,145.7167191505432,145.7,512,57,2,40,11,18,0.0,4.555257725111775,0.32664021668053067,1.4160757994190516
43,wdbc,CBM_KE,9,OK,0.9642857142857143,0.9619047619047619,0.9565217391304348,0.9714285714285714,0.9625668449197862,0.9278305692406299,124.38020491600037,124.4,513,56,2,40,3,6,0.0,2.054697767833935,0.7902572859607933,1.306650799985789
43,wdbc,CBM,2,OK,0.9298245614035088,0.992063492063492,0.9199999999999999,0.9444444444444444,0.9271099744245523,0.8640987597877147,130.93654823303223,130.9,512,57,2,40,9,8,0.0,2.9611150111589617,,
43,wdbc,CBM,4,OK,1.0,1.0,1.0,1.0,1.0,1.0,143.42528700828552,143.4,512,57,2,40,12,10,0.0,2.825282688746488,,
43,wdbc,CBM,5,OK,1.0,1.0,1.0,1.0,1.0,1.0,122.70627045631409,122.7,512,57,2,40,3,6,0.0,2.054697767833935,,
43,wdbc,CBM,6,OK,0.9824561403508771,1.0,0.9772727272727273,0.9861111111111112,0.981329839502129,0.9633432944855655,143.70826125144958,143.7,512,57,2,40,12,13,0.0,2.460185572348827,,
43,wdbc,CBM,8,OK,0.9298245614035088,0.9779220779220779,0.9344594594594595,0.9175324675324675,0.9246031746031746,0.851823761469308,116.33926701545715,116.3,512,57,2,40,3,6,0.0,2.054697767833935,,
43,wdbc,CBM,9,OK,0.9464285714285714,0.9659863945578231,0.9398395721925134,0.9476190476190476,0.9433771486349849,0.8874245216579992,129.18693780899048,129.2,513,56,2,40,3,6,0.0,2.054697767833935,,
43,wine-quality,CBM_KE,9,PARTIAL,0.5787321063394683,nan,0.3610814671086318,0.28926975522463033,0.3050790869417964,0.3490035691304702,1540.358987569809,1540.4,4409,489,7,40,6,9,0.0,3.30425399850491,0.2955354402515126,2.500824182605997
44,balance-scale,CBM_KE,0,OK,0.9841269841269841,0.9789722785665992,0.9888888888888889,0.9333333333333332,0.9573132454488387,0.9723450321743318,223.86402821540833,223.9,562,63,3,40,2,4,0.0,1.0896755526798811,0.21276320246654662,1.335537418426334
44,balance-scale,CBM_KE,2,OK,0.9365079365079365,0.9815077755240026,0.8988505747126436,0.8988505747126436,0.8988505747126436,0.8885941644562334,215.7087802886963,215.7,562,63,3,40,2,4,0.0,1.0896755526798811,0.21276320246654662,1.335537418426334
44,balance-scale,CBM_KE,3,OK,0.9365079365079365,0.9846517917511832,0.9568452380952381,0.8436781609195402,0.882729364394593,0.8892657570271356,226.81502389907837,226.8,562,63,3,40,2,4,0.0,1.0896755526798811,0.21276320246654662,1.335537418426334
44,balance-scale,CBM_KE,4,OK,0.9841269841269841,0.9942528735632185,0.9444444444444445,0.9885057471264368,0.9638490164805954,0.9729158085985287,213.1449112892151,213.2,562,63,3,40,3,4,0.0,0.43414741475765783,0.22610855518472492,1.5305113169181603
44,balance-scale,CBM_KE,5,OK,1.0,1.0,1.0,1.0,1.0,1.0,214.295583486557,214.3,563,62,3,40,3,4,0.0,0.43414741475765783,0.22610855518472492,1.5305113169181603
44,balance-scale,CBM_KE,6,OK,0.9193548387096774,0.9846963280720087,0.7929292929292929,0.7214285714285715,0.7343387795000699,0.8598239995846175,211.87789678573608,211.9,563,62,3,40,3,4,0.0,0.43414741475765783,0.22610855518472492,1.5305113169181603
44,balance-scale,CBM_KE,7,OK,0.9193548387096774,0.8800051329996883,0.6129032258064516,0.6666666666666666,0.6386064030131827,0.860481517060815,236.58514976501465,236.6,563,62,3,40,2,4,0.0,1.0896755526798811,0.21276320246654662,1.335537418426334
44,balance-scale,CBM_KE,8,OK,1.0,1.0,1.0,1.0,1.0,1.0,240.2536656856537,240.3,563,62,3,40,3,7,0.0,3.323962353060542,0.3287496780469381,3.96071380573242
